extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse
Tzo-CMal_038-Ex1	Tzo_CMal_038_Ex1_8C_lcwgs_1_2_L8	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMal	wahab	lcwgs	NA	Tzo_CMal_038_Ex1_8C_lcwgs_1_2_L8-1.fq.gz	Tzo_CMal_038_Ex1_8C_lcwgs_1_2_L8-2.fq.gz
Tzo-AMvi_027-Ex1	Tzo-AMvi_027_Ex1_L4	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/fq_raw_cssl	wahab	cssl	NA	Tzo-AMvi_027_Ex1_L4_1.fq.gz	Tzo-AMvi_027_Ex1_L4_2.fq.gz
Adu-ASub_027-Ex1	Adu-ASub_027-Ex1-4C-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-ASub_027-Ex1-4C-lcwgs-1-1.1.fq.gz	Adu-ASub_027-Ex1-4C-lcwgs-1-1.2.fq.gz
Tzo-AMta_007-Ex1	Tzo_AMta_007_Ex1_6B_lcwgs_1_2_L4	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/AMta	wahab	lcwgs	NA	Tzo_AMta_007_Ex1_6B_lcwgs_1_2_L4-1.fq.gz	Tzo_AMta_007_Ex1_6B_lcwgs_1_2_L4-2.fq.gz
Tzo-AMvi_010-Ex1	Tzo-AMvi_010_Ex1_L4	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_cssl_data_processing/taeniamia_zosterophora/fq_raw_cssl	wahab	cssl	NA	Tzo-AMvi_010_Ex1_L4_1.fq.gz	Tzo-AMvi_010_Ex1_L4_2.fq.gz
Pba-ATat_011-Ex1	Pba-ATat_011-Ex1-7F-lcwgs_L7	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-ATat_011-Ex1-7F-lcwgs_L7_1.fq.gz	Pba-ATat_011-Ex1-7F-lcwgs_L7_2.fq.gz
Tbi-CJos_038-Ex1	Tbi-CJos_038_Ex1_L4	/archive/carpenterlab/pire/pire_taeniamia_biguttata_cssl/1st_sequencing_run/fq_raw	wahab	cssl	file_pair.67	Tbi-CJos_038_Ex1_L4_1.fq.gz	Tbi-CJos_038_Ex1_L4_2.fq.gz
Tbi-CJos_038-Ex1	Tbi-CJos_038_Ex1_L4	/home/e1garcia/shotgun_PIRE/pire_cssl_data_processing/taeniamia_biguttata/1st_sequencing_run/fq_raw	wahab	cssl	file_pair.67	Tbi-CJos_038_Ex1_L4_1.fq.gz	Tbi-CJos_038_Ex1_L4_2.fq.gz
Hte-CJol_046-Ex1	Hte-CJol_046-Ex1-3G-lcwgs-1-2	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Hte-CJol_046-Ex1-3G-lcwgs-1-2.1.fq.gz	Hte-CJol_046-Ex1-3G-lcwgs-1-2.2.fq.gz
Tzo-CMta_014-Ex1	Tzo_CMta_014_Ex1_10F_lcwgs_1_2_L7	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/CMta	wahab	lcwgs	NA	Tzo_CMta_014_Ex1_10F_lcwgs_1_2_L7-1.fq.gz	Tzo_CMta_014_Ex1_10F_lcwgs_1_2_L7-2.fq.gz
Gmi-AHam_034-Ex1	Gmi-AHam_034-Ex1-cssl	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_cssl_data_processing/gazza_minuta/2nd_sequencing_run/raw_fq_capture	wahab	cssl	NA	Gmi-AHam_034-Ex1-cssl.1.fq.gz	Gmi-AHam_034-Ex1-cssl.2.fq.gz
Sor-ACeb_017-Ex1	Sor-ACeb_017-Ex1-12F-lcwgs-1-2-L2	/archive/carpenterlab/pire/pire_sphaeramia_orbicularis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Sor-ACeb_017-Ex1-12F-lcwgs-1-2-L2-1.fq.gz	Sor-ACeb_017-Ex1-12F-lcwgs-1-2-L2-2.fq.gz
Sne-CCab_033-Ex1	Sne-CCab_033-Ex1-3B-lcwgs-1-2	/archive/carpenterlab/pire/pire_sphaeramia_nematoptera_lcwgs/3rd_sequencing_run/fq_raw	wahab	lcwgs	NA	Sne-CCab_033-Ex1-3B-lcwgs-1-2.1.fq.gz	Sne-CCab_033-Ex1-3B-lcwgs-1-2.2.fq.gz
Och-CBur_031-Ex1	Och-CBur_031_Ex1-5E-lcwgs-1-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/3rd_sequencing_run/fq_raw	wahab	lcwgs	NA	Och-CBur_031_Ex1-5E-lcwgs-1-1.1.fq.gz	Och-CBur_031_Ex1-5E-lcwgs-1-1.2.fq.gz
Och-CBur_045-Ex1	Och-CBur_045_Ex1-6G-lcwgs-1-2	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/4th_sequencing_run/fq_raw	wahab	lcwgs	NA	Och-CBur_045_Ex1-6G-lcwgs-1-2.1.fq.gz	Och-CBur_045_Ex1-6G-lcwgs-1-2.2.fq.gz
