lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
136814	Ham	HamC	Hamilo_Cove	14.1779794	120.599424	NA	Nasugbu	Batangas	CALABARZON	Luzon	Hamilo Cove
136815	Bus	Busu	Port_Caltom	12.1858224	120.10223	NA	Coron	Palawan	MIMAROPA	Luzon	NA
136817	Gui	Guij	Guijulugan_Beach	10.1425502	123.281256	Poblacion	City of Guihulngan	Negros Oriental	Central Visayas	Visayas	NA
136819	Mat	MatB	Matnog_Bay	12.5827124	124.09195	Caloocan	Matnog	Sorsogon	Bicol	Luzon	NA
136823	Mtg	Narr	NA	9.2263186	118.423605	NA	Narra	Palawan	MIMAROPA	Luzon	NA
136824	Tag	Tagb	Tagbilaran_Channel	9.6150092	123.88	NA	Tagbilaran City	Bohol	Central Visayas	Visayas	Tagbilaran Channel
136830	Taw	Tawi	Tataan_Pass_Anchorage	5.0345263	119.744525	Pahut	Bongao	Tawi-tawi	BARMM	Mindanao	NA
136836	Gal	PGal	Puerto_Galera	13.4963476	120.958486	NA	Puerto Galera	Oriental Mindoro	MIMAROPA	Luzon	NA
136842	Sub	SubB	Olongapo	14.8185723	120.294976	NA	Olongapo	Zambales	Central Luzon	Luzon	Olongapo Port
136844	Taw	Tawi	Dos_Amigos_Bay	5.0345263	119.744525	Pahut	Bongao	Tawi-tawi	BARMM	Mindanao	NA
136845	Bai	Guij	Bais_Bay_Anchorage	10.1425502	123.281256	Poblacion	City of Guihulngan	Negros Oriental	Central Visayas	Visayas	NA
136848	Sub	SubB	Olongapo	14.8185723	120.294976	NA	Olongapo	Zambales	Central Luzon	Luzon	Olongapo Port
137224	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
137234	Bil	Bila	Bilan_Bilan_Surigao	9.8011514	125.488763	NA	Surigao City	Surigao del Norte	Caraga	Mindanao	NA
137551	Jol	NA	NA	5.8458014	121.020809	NA	Maimbung	Sulu	BARMM	Mindanao	NA
138157	Pnd	Pand	Pandan_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
138297	Bas	Basu	Basud_River	14.2897039	122.815167	NA	Paracale	Camarines Norte	Bicol	Luzon	NA
138391	Bai	Bais	Bais_Bay	9.5736677	123.142319	NA	Bais	Negros Oriental	Negros Island	Visayas	South Bais Bay
