gcl_sequence_id	pire_sequence_id	extraction_id
AbC0203807B	Abu-CPnd_038-Exx1-7B-lcwgs-1-T	Abu-CPnd_038-Ex1
AbC0200807C	Abu-CPnd_008-Exx1-7C-lcwgs-1-T	Abu-CPnd_008-Ex1
AbC0203907D	Abu-CPnd_039-Exx1-7D-lcwgs-1-T	Abu-CPnd_039-Ex1
AbC0204907E	Abu-CPnd_049-Exx1-7E-lcwgs-1-T	Abu-CPnd_049-Ex1
AbC0200407F	Abu-CPnd_004-Exx1-7F-lcwgs-1-T	Abu-CPnd_004-Ex1
AbC0205407G	Abu-CPnd_054-Exx1-7G-lcwgs-1-T	Abu-CPnd_054-Ex1
AbC0200507H	Abu-CPnd_005-Exx1-7H-lcwgs-1-T	Abu-CPnd_005-Ex1
AbC0209008A	Abu-CPnd_090-Exx1-8A-lcwgs-1-T	Abu-CPnd_090-Ex1
AbC0206808B	Abu-CPnd_068-Exx1-8B-lcwgs-1-T	Abu-CPnd_068-Ex1
AbC0206008C	Abu-CPnd_060-Exx1-8C-lcwgs-1-T	Abu-CPnd_060-Ex1
AbC0200908D	Abu-CPnd_009-Exx1-8D-lcwgs-1-T	Abu-CPnd_009-Ex1
AbC0206208E	Abu-CPnd_062-Exx1-8E-lcwgs-1-T	Abu-CPnd_062-Ex1
AbC0203208F	Abu-CPnd_032-Exx1-8F-lcwgs-1-T	Abu-CPnd_032-Ex1
AbC0203308G	Abu-CPnd_033-Exx1-8G-lcwgs-1-T	Abu-CPnd_033-Ex1
AbC0205108H	Abu-CPnd_051-Exx1-8H-lcwgs-1-T	Abu-CPnd_051-Ex1
AdA1501002B	Adu-ASub_010-Ex1-2B-lcwgs-1-2	Adu-ASub_010-Ex1
AdA1501102C	Adu-ASub_011-Ex1-2C-lcwgs-1-2	Adu-ASub_011-Ex1
AdA1501803B	Adu-ASub_018-Ex1-3B-lcwgs-1-2	Adu-ASub_018-Ex1
AdA1501903C	Adu-ASub_019-Ex1-3C-lcwgs-1-2	Adu-ASub_019-Ex1
AdA1502103E	Adu-ASub_021-Ex1-3E-lcwgs-1-2	Adu-ASub_021-Ex1
AdA1502303G	Adu-ASub_023-Ex1-3G-lcwgs-1-2	Adu-ASub_023-Ex1
AdA1502403H	Adu-ASub_024-Ex1-3H-lcwgs-1-2	Adu-ASub_024-Ex1
AdA1502504A	Adu-ASub_025-Ex1-4A-lcwgs-1-2	Adu-ASub_025-Ex1
AdA1502604B	Adu-ASub_026-Ex1-4B-lcwgs-1-2	Adu-ASub_026-Ex1
AdA1502704C	Adu-ASub_027-Ex1-4C-lcwgs-1-2	Adu-ASub_027-Ex1
AdA1502804D	Adu-ASub_028-Ex1-4D-lcwgs-1-2	Adu-ASub_028-Ex1
AdA1502904E	Adu-ASub_029-Ex1-4E-lcwgs-1-2	Adu-ASub_029-Ex1
AdA1503004F	Adu-ASub_030-Ex1-4F-lcwgs-1-2	Adu-ASub_030-Ex1
AdA1503104G	Adu-ASub_031-Ex1-4G-lcwgs-1-2	Adu-ASub_031-Ex1
AdA1503305A	Adu-ASub_033-Ex1-5A-lcwgs-1-2	Adu-ASub_033-Ex1
AdA1503405B	Adu-ASub_034-Ex1-5B-lcwgs-1-2	Adu-ASub_034-Ex1
AdA1503505C	Adu-ASub_035-Ex1-5C-lcwgs-1-2	Adu-ASub_035-Ex1
AdA1503605D	Adu-ASub_036-Ex1-5D-lcwgs-1-2	Adu-ASub_036-Ex1
AdA1503705E	Adu-ASub_037-Ex1-5E-lcwgs-1-2	Adu-ASub_037-Ex1
AdA1503805F	Adu-ASub_038-Ex1-5F-lcwgs-1-2	Adu-ASub_038-Ex1
AdA1504106A	Adu-ASub_041-Ex1-6A-lcwgs-1-2	Adu-ASub_041-Ex1
AdA1504206B	Adu-ASub_042-Ex1-6B-lcwgs-1-2	Adu-ASub_042-Ex1
AdA1504306C	Adu-ASub_043-Ex1-6C-lcwgs-1-2	Adu-ASub_043-Ex1
AdA1504406D	Adu-ASub_044-Ex1-6D-lcwgs-1-2	Adu-ASub_044-Ex1
AdA1504506E	Adu-ASub_045-Ex1-6E-lcwgs-1-2	Adu-ASub_045-Ex1
AdA0304606F1	Adu-ASub_046-Ex1-6F-lcwgs-1-2	Adu-ASub_046-Ex1
AdA0304706G1	Adu-ASub_047-Ex1-6G-lcwgs-1-2	Adu-ASub_047-Ex1
AdA0304806H1	Adu-ASub_048-Ex1-6H-lcwgs-1-2	Adu-ASub_048-Ex1
AdA0304907A1	Adu-ASub_049-Ex1-7A-lcwgs-1-2	Adu-ASub_049-Ex1
AdA0305007B1	Adu-ASub_050-Ex1-7B-lcwgs-1-2	Adu-ASub_050-Ex1
AdA0305107C1	Adu-ASub_051-Ex1-7C-lcwgs-1-2	Adu-ASub_051-Ex1
AdA0305207D	Adu-ASub_052-Ex1-7D-lcwgs-1-2	Adu-ASub_052-Ex1
AdA0305307E	Adu-ASub_053-Ex1-7E-lcwgs-1-2	Adu-ASub_053-Ex1
AdA0305407F	Adu-ASub_054-Ex1-7F-lcwgs-1-2	Adu-ASub_054-Ex1
AdA0305507G	Adu-ASub_055-Ex1-7G-lcwgs-1-2	Adu-ASub_055-Ex1
